,DESCRIPTION:
0,Blue Ombra bow tie
1,Dip Dye Red Ombre Top
2,Hooded Camp Vest In Burgundy
3,Violette Ombra top
4,Creature Comforts Tunic In Forrest Green
5,Pretty In Pink Leopard Print Halter
6,Born To Fashion Dress Mauve + Ivory
7,Honeysuckle Shirred Tunic
8,Basically Perfect V-Neck In Burgundy
9,Raglan Floral Long Sleeved Top
10,Brushed Melange V-Neck Sweater In Hunter Green
11,Basically Perfect V-Neck In Golden Bronze
12,Stay On The Grid Chic Plaid Jacket
13,MAVERICK ---MENS NAVY CREW
14,You Glow Girl Sequin Cami In Champagne
15,You Glow Girl Sequin Cami In Black
16,Wine Because Adulting Is Hard!
17,White Christmas Tree
18,I'm Full of Holiday Spirit (Its Called Vodka)
19,At Ease Slate Tunic
20,PREORDER: Moose Fashion Show Graphic Tee
21,Rustic Steer V- Neck Tshirt
22,Lace Panel Off The Shoulder Top
23,Lacy Elegance Off-White Blouse
24,Pretty Blush Top
25,Falling Sleeves Embroidered Blouse
26,Fade Away Ombre Sports Bra
27,Relaxed Rust Hoodie
28,Let's Layer In Black
29,Let's Layer In White
30,Working For The Weekend Top In Ivory
31,Working For The Weekend Top In Gray
