,DESCRIPTION:
0,America Yall
1,Forever your Biggest Fan
2,Cactus Tshirt
3,Coffee and Ducktape
4,Irish Today
5,Lets Make Fireworks
6,Tailgates And Touchdowns Graphic Tee
7,I Said Yes
8,Less Talky More Coffee Tee
9,Maverick -- Womens Navy T-Shirt
10,Target Romance Graphic Tee
11,Whiskey Makes me Frisky
12,Wine Because Adulting Is Hard!
13,White Christmas Tree
14,Drink Up Grinches
15,I'm Full of Holiday Spirit (Its Called Vodka)
16,PREORDER: Moose Fashion Show Graphic Tee
17,PREORDER: Reindeer Gather Here Graphic Tee
18,PREORDER: Santa's Team Graphic Tee
19,Goose - Heather Grey  Womens T-Shirt
20,GOOSE - MENS - Heather Navy Tshirt
21,Basic Witch Graphic Tee
22,I'm Here For The Boos Graphic Tee
23,Buffalo Plaid Buffalo Tee
24,Game Day Graphic Tee
25,Grateful Thankful Blessed Tee
26,Let's Do Brunch Embroidered Tee
