,DESCRIPTION:
0,Fleece Lined Leggings In Burgundy
1,Fleece Lined Leggings In Olive
2,Look Like Royalty Dress In Black
3,Forever your Biggest Fan
4,Cactus Tshirt
5,Coffee and Ducktape
6,Irish Today
7,Lets Make Fireworks
8,Sunflower  Sherpa  Pullover
9,Born To Fashion Dress Mauve + Ivory
10,Basically Perfect V-Neck In Burgundy
11,Raglan Floral Long Sleeved Top
12,Brushed Melange V-Neck Sweater In Hunter Green
13,Black Mamba Snakeskin Leggings
14,Basically Perfect V-Neck In Golden Bronze
15,You Glow Girl Sequin Cami In Champagne
16,Fall Fantasy Striped Romper
17,Target Romance Graphic Tee
18,I Said Yes
19,Less Talky More Coffee Tee
20,Maverick -- Womens Navy T-Shirt
21,Whiskey Makes me Frisky
22,You Glow Girl Sequin Cami In Black
23,Drink Up Grinches
24,White Christmas Tree
25,At Ease Slate Tunic
26,PREORDER: Moose Fashion Show Graphic Tee
27,PREORDER: Reindeer Gather Here Graphic Tee
28,PREORDER: Santa's Team Graphic Tee
29,Jump For Joy Navy Jumpsuit
30,Make The Grade Fringed Poncho
31,Let's Layer In Black
